GO	OOB	AUC
GO_0001558	0.300884955752212	0.759502091471266
GO_0001764	0.144447616328861	0.925126792119465
GO_0002253	0.135312589209249	0.912994562440794
GO_0002429	0.149015129888667	0.90652107968878
GO_0002757	0.139594633171567	0.912021336466107
GO_0002764	0.0973451327433628	0.960180389396828
GO_0002768	0.101627176705681	0.959785577629243
GO_0005085	0.212389380530973	0.827246236149991
GO_0005088	0.216100485298316	0.822340359009291
GO_0005089	0.304025121324579	0.712202178216768
GO_0006928	0.0713673993719669	0.980609154311201
GO_0006939	0.359977162432201	0.662518426766576
GO_0007010	0.250642306594348	0.834739344406247
GO_0007155	0.0922066799885812	0.963998621651253
GO_0007162	0.128746788467028	0.932987105254756
GO_0007173	0.106765629460462	0.961071958851769
GO_0007204	0.290893519840137	0.76984486259087
GO_0007264	0.0979160719383386	0.969069807510138
GO_0007265	0.127033970882101	0.950488874756528
GO_0007411	0.0959177847559235	0.968088931433806
GO_0007596	0.102198115900657	0.958102555266996
GO_0007599	0.103625463888096	0.957960529466864
GO_0007610	0.122751926919783	0.935669297414666
GO_0010562	0.0773622609192121	0.977718580034702
GO_0010720	0.0982015415358264	0.957394920864691
GO_0010769	0.294604624607479	0.785819106361694
GO_0010975	0.117328004567514	0.945773917543879
GO_0014069	0.129032258064516	0.93595567730674
GO_0016477	0.0799314872966029	0.967167593105064
GO_0019900	0.299172138167285	0.774891102466127
GO_0022610	0.0933485583785327	0.964343707758138
GO_0030029	0.293462746217528	0.765519062722851
GO_0030030	0.102483585498144	0.95352496727087
GO_0030155	0.0979160719383386	0.966747669047292
GO_0030534	0.350556665715101	0.682010885762031
GO_0031344	0.0982015415358264	0.962310111172609
GO_0031345	0.299743077362261	0.75149925361617
GO_0031346	0.12446474450471	0.932934718689134
GO_0035023	0.301741364544676	0.744316972315944
GO_0035556	0.0705109905795033	0.980881231839323
GO_0038093	0.10847844704539	0.95669676593616
GO_0038095	0.110476734227805	0.956567545740953
GO_0038127	0.106480159862975	0.961441325716053
GO_0040008	0.210962032543534	0.879903715155451
GO_0040011	0.0813588352840423	0.968422376081659
GO_0042127	0.0747930345418213	0.975454648866991
GO_0043025	0.3105909220668	0.760762861483934
GO_0043065	0.248358549814445	0.822470244430726
GO_0043085	0.0867827576363117	0.976189723851292
GO_0043087	0.193262917499286	0.87789473194044
GO_0044057	0.269197830431059	0.823125824880526
GO_0044708	0.124179274907222	0.926170033154875
GO_0045664	0.100770767913217	0.959316260523878
GO_0045937	0.0782186697116757	0.978086283833412
GO_0046578	0.20353982300885	0.855809553713025
GO_0048010	0.12589209249215	0.94595801890307
GO_0048011	0.0956323151584356	0.972554761423268
GO_0048638	0.269768769626035	0.820731675678269
GO_0048646	0.174421924065087	0.910159201941395
GO_0048870	0.0813588352840423	0.967128012144372
GO_0050678	0.277476448758207	0.812546399529556
GO_0050679	0.322009705966315	0.74088590172746
GO_0050767	0.0984870111333143	0.962217478420064
GO_0050790	0.0756494433342849	0.9820472071142
GO_0050817	0.104767342278047	0.957893175311058
GO_0051056	0.20211247502141	0.854423887475654
GO_0051241	0.183271481587211	0.901927858876248
GO_0051336	0.162146731373109	0.918052610081638
GO_0051345	0.173565515272623	0.894447057305253
GO_0051480	0.28775335426777	0.772045430960162
GO_0051966	0.330573793890951	0.719936929901122
GO_0055074	0.285755067085355	0.774717644726621
GO_0060123	0.342563516985441	0.721957388268605
GO_0060284	0.0790750785041393	0.975667853873749
GO_0065009	0.0719383385669426	0.982840156780527
GO_0072507	0.281758492720525	0.775757892243993
GO_0097485	0.0930630887810448	0.969377973561248
GO_0098609	0.108192977447902	0.951680128628145
GO_0098772	0.151013417071082	0.923501810745803
GO_0007167	0.0816443048815301	0.979904846040044
GO_0022603	0.0776477305167	0.976432531425288
GO_0038179	0.0950613759634599	0.972120202388431
GO_0044456	0.105909220667999	0.957764121422413
GO_0045595	0.105338281473023	0.957775097655213
GO_0045597	0.0756494433342849	0.979775126925166
GO_0048518	0.0499571795603768	0.990019111949599
GO_0050793	0.0510990579503283	0.988627292369591
GO_0050794	0.0453896660005709	0.992248118740227
GO_0051094	0.0590922066799886	0.985098599831836
GO_0051240	0.0730802169568941	0.98251918512448
GO_0051960	0.105052811875535	0.955126166806807
GO_0065007	0.0436768484156437	0.992494751365048
GO_2000026	0.0570939194975735	0.986695309090718
GO_0007165	0.0542392235226948	0.988794929379584
GO_0007166	0.0650870682272338	0.985931629378526
GO_0050789	0.0456751355980588	0.992613494247127
GO_0051239	0.0513845275478162	0.989537155545859
GO_0042493	0.135883528404225	0.918405346290166
GO_0007169	0.0816443048815301	0.979297660798497
GO_0009986	0.258635455324008	0.839153951975987
